repo,commit_sha,committed_at,commit_message,commit_type,language,lines_added,lines_deleted,files_changed,test_files_changed,doc_files_changed,has_tests,cyclomatic_complexity,total_diff_hunks,commit_hour,day_of_week,is_weekend,is_night_commit,num_reviewers,review_comments,time_to_review_hours,test_coverage_pct,developer_experience,prior_bugs_author,churn_ratio,scatter_score,complexity_per_file,is_buggy
django/django,fcf916884d,2026-03-10T15:47:18Z,"Fixed #36973 -- Made fields.E348 check detect further clashes between managers and related_names.  Clashes were only detected for self-referential relationships, i.e. ForeignKey(""self"").  Refs #22977.",bugfix,Python,52,25,3,1,1,1,25,77,15,1,0,0,0,6,10.0,33.3,8.7,15,2.0,0.0566,6.25,1
django/django,21a16f6af0,2026-03-10T17:46:30Z,Refs #36735 -- Adjusted UUID7 assertions for timezone shifts.  Thanks Simon Charette and Jacob Walls for reviews.,other,Python,13,7,1,1,0,1,6,20,17,1,0,0,0,1,8.8,100.0,8.6,16,1.62,0.0714,3.0,0
django/django,e0fd41c24e,2026-03-10T18:21:25Z,Fixed #36885 -- Fixed long verbose names in admin filter sidebar breaking layout.,bugfix,Unknown,4,0,1,0,0,0,1,4,18,1,0,0,2,1,4.4,0.0,1.5,16,4.0,0.2,0.5,1
django/django,d9adcfbd5e,2026-03-11T11:35:26Z,Made it clear that unreviewed tickets shouldn't be claimed or started.,other,Unknown,12,5,3,0,2,0,5,17,11,2,0,0,1,1,13.6,0.0,6.0,17,2.0,0.2308,1.25,0
django/django,d7bf84324f,2026-03-11T13:06:40Z,Fixed #36906 -- Handled coalescing JSON-primitive strings and JSON values on Oracle.,bugfix,Python,20,4,3,2,0,1,8,24,13,2,0,0,1,5,17.1,66.7,8.6,17,4.0,0.1429,2.0,1
django/django,953c238058,2026-03-11T13:26:18Z,Fixed CVE-2026-33034 -- Enforced DATA_UPLOAD_MAX_MEMORY_SIZE on body size in ASGI requests.  The `body` property in `HttpRequest` checks DATA_UPLOAD_MAX_MEMORY_SIZE against the declared `Content-Lengt,bugfix,Python,219,9,5,1,3,1,79,228,13,2,0,0,1,3,6.5,20.0,2.8,18,21.9,0.0227,13.17,1
django/django,ef8b25dcc0,2026-03-12T15:00:05Z,"Fixed CVE-2026-4277 -- Checked add permissions in GenericInlineModelAdmin.  Edit permissions were still checked as part of ordinary form validation, but because GenericInlineModelAdmin overrides get_f",bugfix,Python,152,9,5,1,3,1,55,161,15,3,0,0,0,7,36.9,20.0,7.7,19,15.2,0.0327,9.17,1
django/django,6c95af5c9d,2026-03-13T17:46:49Z,Fixed #36966 -- Fixed ValueError when `query_params` and `follow` are used on test client.,bugfix,Python,8,0,2,2,0,1,2,8,17,4,0,0,2,4,15.1,100.0,7.5,20,8.0,0.2222,0.67,1
django/django,2e33abe57c,2026-03-13T21:06:34Z,Fixed #36987 -- Observed prepared argument in UUIDField.get_db_prep_value().  This avoids two isinstance() calls per UUID value.,bugfix,Python,5,1,2,1,0,1,2,6,21,4,0,0,1,0,2.9,50.0,9.3,21,2.5,0.3333,0.67,1
django/django,23f49c6b40,2026-03-14T15:11:13Z,Fixed #35786 -- Removed outdated note about database defaults in AddField/AlterField docs.,bugfix,Unknown,2,4,1,0,1,0,1,6,15,5,1,0,2,0,2.8,0.0,8.0,22,0.4,0.3333,0.5,1
django/django,6b90f8a8d6,2026-03-14T18:11:27Z,"Refs #12529, #22325 -- Fixed ExecutorTests.test_custom_user isolation.",bugfix,Python,13,6,1,1,0,1,6,19,18,5,1,0,1,1,0.9,100.0,2.0,23,1.86,0.0714,3.0,1
django/django,994fa7780d,2026-03-14T23:04:26Z,Fixed #36960 -- Enabled the use of psycopg 3's optimized timestamp loader.  Based on Daniele Varrazzo's comment in https://github.com/psycopg/psycopg/issues/1273#issuecomment-3986829769,bugfix,Python,11,5,1,0,0,0,5,16,23,5,1,1,2,1,4.3,0.0,8.1,24,1.83,0.0833,2.5,1
django/django,26f8929f16,2026-03-15T11:18:59Z,Fixed #36913 -- Optimized MultipleChoiceField.validate().,bugfix,Python,20,1,3,1,0,1,7,21,11,6,1,0,2,7,5.5,33.3,1.9,25,10.0,0.1429,1.75,1
django/django,ad5ea29274,2026-03-15T16:36:44Z,Fixed typo in docs/internals/contributing/accessibility.txt.,bugfix,Unknown,2,2,1,0,1,0,1,4,16,6,1,0,0,0,1.2,0.0,7.0,26,0.67,0.3333,0.5,1
django/django,60f07e81c5,2026-03-15T23:20:38Z,"Refs #36953 -- Removed unnecessary overrides from mail tests.  Django automatically substitutes the locmem EmailBackend during tests, and SimpleTestCase empties mail.outbox before each test.",refactor,Python,2,14,1,1,0,1,4,16,23,6,1,1,0,7,11.0,100.0,8.0,27,0.13,0.3333,2.0,0
django/django,1786cd881f,2026-03-16T03:31:18Z,"Refs #36795 -- Deprecated SQLCompiler.quote_name_unless_alias().  It has been superseded with .quote_name(), which ensures aliases are always quoted.",other,Python,37,2,4,1,2,1,13,39,3,0,0,1,2,2,10.2,25.0,4.8,27,12.33,0.1053,2.6,0
django/django,455e787b9c,2026-03-16T15:39:32Z,"Skipped check_commit_messages action on forks.  This was causing permission errors on private forks, e.g. the one maintained by the Security Team for staging security patches.  Follow-up to f8665b1a7f",bugfix,Unknown,4,1,1,0,0,0,1,5,15,0,0,0,2,6,13.8,0.0,2.3,27,2.0,0.2,0.5,1
django/django,142659133a,2026-03-16T17:23:25Z,"Removed reference to spatialreference.org being a Django website.  spatialreference.org has been redesigned, possibly in 2023 [1], and no longer uses Django, see repo [2].  [1] https://spatialreferenc",refactor,Unknown,1,2,1,0,1,0,1,3,17,0,0,0,1,7,12.3,0.0,4.2,28,0.33,0.5,0.5,0
django/django,4b2edb3418,2026-03-16T17:28:15Z,Corrected signature for EmailMessage.message() in email topics docs.  Fixed the EmailMessage.message() method signature in the docs to reinforce that the `policy` argument is keyword-only. (The text a,bugfix,Unknown,1,1,1,0,1,0,1,2,17,0,0,0,0,1,3.7,0.0,4.4,28,0.5,0.5,0.5,1
django/django,6afe7ce939,2026-03-16T22:05:22Z,"Fixed CVE-2026-4292 -- Disallowed instance creation via ModelAdmin.list_editable.  Thanks Natalia Bidart, Jake Howard, and Markus Holtermann for reviews.",bugfix,Python,59,1,6,2,3,1,20,60,22,0,0,1,1,4,2.4,33.3,2.0,29,29.5,0.1,2.86,1
django/django,4b2b4bf0ac,2026-03-18T07:40:04Z,"Fixed #36926 -- Made admin use boolean icons for related BooleanFields in list_display.  When using related field lookups like 'parent__is_active' in list_display, the admin now correctly detects if t",bugfix,Python,34,1,3,2,0,1,12,35,7,2,0,0,1,3,1.8,66.7,8.9,30,17.0,0.0857,3.0,1
django/django,6be668b0cc,2026-03-18T15:06:43Z,Fixed #36799 -- Added a how-to guide for testing pre-releases.  Thanks Sarah Boyce for the idea and Tim McCurrach for the review.  Co-authored-by: Timothy McCurrach <tim.mccurrach@gmail.com> Co-author,bugfix,Unknown,74,0,3,0,3,0,25,74,15,2,0,0,1,4,12.9,0.0,3.1,31,74.0,0.04,6.25,1
django/django,36ccdcc511,2026-03-18T20:13:24Z,Refs #36953 -- Split compound mail tests.  Broke apart independent cases in mail tests using subTest() or separate methods.,test,Python,170,162,1,1,0,1,100,332,20,2,0,0,1,1,7.9,100.0,7.9,32,1.04,0.0058,50.0,0
django/django,a8ef1a697b,2026-03-19T18:22:57Z,Refs #36953 -- Split apart catchall MailTests.  Replaced large MailTests class with smaller classes focused on specific django.core.mail APIs:  - EmailMessageTests: covering EmailMessage and EmailMult,feature,Python,398,366,1,1,0,1,100,764,18,3,0,0,2,5,33.4,100.0,3.2,32,1.08,0.0025,50.0,0
django/django,468d47fb90,2026-03-19T19:38:55Z,Refs #36620 -- Fixed coverage comment deletion.  Follow-up to 92d4aea5ffacc38c5f7903b9410d0abec83f14de.,bugfix,Unknown,1,1,1,0,0,0,1,2,19,3,0,0,2,6,14.9,0.0,4.7,32,0.5,0.5,0.5,1
django/django,9b2cc7a950,2026-03-19T19:40:15Z,Refs #36620 -- Reduced permissions on coverage comment workflow.,test,Unknown,0,1,1,0,0,0,1,1,19,3,0,0,2,1,4.2,0.0,8.3,33,0.0,1.0,0.5,0
django/django,3ef48ca6c1,2026-03-19T20:59:34Z,"Refs #36953 -- Moved non-backend-dependent BaseEmailBackendTests.  Relocated BaseEmailBackendTests that are _not_ dependent on the email backend.  - In general, moved test cases to EmailMessageTests o",feature,Python,296,300,1,1,0,1,100,596,20,3,0,0,1,0,5.3,100.0,6.8,33,0.98,0.0034,50.0,0
django/django,d61f33f03b,2026-03-19T21:10:42Z,Fixed #36953 -- Split EmailBackend tests to separate file.  Moved tests for specific email backends from tests/mail/tests.py to test_backends.py to reduce file size and discourage adding non-backend-s,bugfix,Python,757,744,2,2,0,1,100,1501,21,3,0,0,1,0,25.9,100.0,8.9,33,1.02,0.0026,33.33,1
django/django,b38cddf8f9,2026-03-22T15:50:18Z,Fixed #36985 -- Skipped CreateExtension backwards operation on non-PostgreSQL databases.,bugfix,Python,1,1,1,0,0,0,1,2,15,6,1,0,0,5,11.0,0.0,7.8,34,0.5,0.5,0.5,1
django/django,f3bdfd2065,2026-03-24T12:54:28Z,"Fixed #36999 -- Removed mention of Ruby on Rails from tutorial part 2.  This comparison wasn't fleshed out, so it was distracting.",bugfix,Unknown,3,4,1,0,1,0,2,7,12,1,0,0,1,0,9.4,0.0,3.7,35,0.6,0.25,1.0,1
django/django,72e8fdd603,2026-03-24T13:30:10Z,Fixed #36976 -- Made admin action counter a live region for screen readers.,bugfix,Python,11,1,2,1,0,1,4,12,13,1,0,0,0,3,2.0,50.0,8.3,36,5.5,0.1667,1.33,1
django/django,10ea59be19,2026-03-24T20:55:48Z,Refs #36485 -- Ignored removal of double spaces in git blame.,other,Unknown,1,0,1,0,0,0,1,1,20,1,0,0,0,7,22.6,0.0,2.6,37,1.0,0.5,0.5,0
django/django,386257b33e,2026-03-24T21:54:02Z,Refs #36494 -- Prevented crash in JSONField numeric lookups with expressions.,other,Python,31,2,2,1,0,1,11,33,21,1,0,0,2,5,24.7,50.0,2.7,37,10.33,0.0625,3.67,1
django/django,f6167b8bc8,2026-03-25T15:25:07Z,Fixed #36993 -- Clarified N/A usage in pull request template for typo fixes.  Signed-off-by: JaeHyuckSa <jaehyuck.sa.dev@gmail.com>,bugfix,Unknown,1,1,1,0,1,0,1,2,15,2,0,0,0,3,19.6,0.0,3.9,38,0.5,0.5,0.5,1
django/django,8b7ea2bcdd,2026-03-26T08:30:02Z,Refs #36913 -- Maintained error message determinism in MultipleChoiceField.validate().  Used Django's OrderedSet datastructure instead of set() in MultipleChoiceField.validate() to prevent submission ,other,Python,5,4,2,1,0,1,2,9,8,3,0,0,2,0,5.2,50.0,2.0,39,1.0,0.3333,0.67,1
django/django,a1188fc76a,2026-03-27T19:26:03Z,Corrected outdated links to gunicorn documentation.,docs,Unknown,2,2,1,0,1,0,1,4,19,4,0,0,1,1,10.8,0.0,7.8,40,0.67,0.3333,0.5,0
django/django,dff1980d61,2026-03-27T20:13:25Z,"Added stub release notes and release date for 6.0.4, 5.2.13, and 4.2.30.",feature,Unknown,21,2,4,0,4,0,7,23,20,4,0,0,0,7,9.1,0.0,5.7,40,7.0,0.1818,1.4,0
django/django,4593ae93ae,2026-03-28T01:41:10Z,Added automated quality checks for PRs as a GitHub Actions workflow.  This work adds automated PR quality checks as a GitHub Actions workflow to enforce contribution requirements consistently and redu,feature,Python,1745,0,8,3,0,1,100,1745,1,5,1,1,7,23,169.7,37.5,9.5,40,1745.0,0.0046,11.11,0
django/django,dadf5df6a0,2026-03-28T05:13:59Z,"Fixed #37009 -- Fixed alignment of ""Show/Hide counts"" icons in admin changelist.",bugfix,Unknown,3,3,2,0,0,0,1,6,5,5,1,1,0,2,22.2,0.0,2.3,40,0.75,0.5,0.33,1
django/django,4fd9e85b60,2026-03-28T13:24:05Z,Refs #36526 -- Fixed bulk_update() batching example in docs.,bugfix,Unknown,2,1,2,0,1,0,1,3,13,5,1,0,0,7,25.0,0.0,5.4,41,1.0,0.6667,0.33,1
django/django,6c9ef6282e,2026-03-30T13:19:20Z,Refs #36770 -- Guarded against an endless wait in LiveServerThread.terminate().  terminate() shouldn't assume the main server was started. (A deadlock from mishandling of in-memory SQLite databases ma,other,Python,6,5,1,1,0,1,3,11,13,0,0,0,0,0,9.6,100.0,1.3,42,1.0,0.1429,1.5,0
django/django,8f50bae618,2026-03-30T14:17:54Z,Refs #36926 -- Added release note for boolean icons for related fields in list_display.,feature,Unknown,3,0,1,0,1,0,1,3,14,0,0,0,2,1,15.5,0.0,9.7,42,3.0,0.25,0.5,0
django/django,9c9a43b45e,2026-03-30T16:09:10Z,Refs #36770 -- Preferred addCleanup() in live server tests.,feature,Python,55,66,1,1,0,1,39,121,16,0,0,0,2,2,3.9,100.0,3.6,42,0.82,0.0179,19.5,0
django/django,afa026cd80,2026-03-30T16:53:26Z,Refs #36770 -- Skipped test_in_memory_database_lock().  Skip pending some investigation.,test,Python,1,0,1,1,0,1,1,1,16,0,0,0,0,5,3.7,100.0,6.2,42,1.0,0.5,0.5,0
django/django,90cd510b3b,2026-03-30T19:59:30Z,Added section for respecting maintainer time to the security policy.  This follows a post from Seth Larson (Security Developer-in-Residence at the PSF): https://sethmlarson.dev/respecting-maintainer-t,feature,Unknown,33,0,1,0,1,0,11,33,19,0,0,0,2,0,14.9,0.0,6.7,42,33.0,0.0294,5.5,0
django/django,253f552c58,2026-03-30T22:16:32Z,Fixed #36949 -- Improved RelatedFieldWidgetWrapper <label>s.  Regression in 4187da258fe212d494cb578a0bc2b52c4979ab95.,bugfix,Python,68,2,4,2,1,1,24,70,22,0,0,1,2,6,18.9,50.0,8.4,42,22.67,0.058,4.8,1
django/django,2ee757ee50,2026-03-31T19:43:18Z,Fixed #36862 -- Doc'd the need for a proxy when deploying RemoteUserMiddleware under ASGI.  We have a flood of nuisance security reports describing ASGI deployments using RemoteUserMiddleware without ,bugfix,Unknown,25,12,3,0,3,0,12,37,19,1,0,0,2,0,31.0,0.0,2.6,43,1.92,0.1154,3.0,1
django/django,08aa1b5ac8,2026-03-31T23:31:57Z,Refs #37004 -- Added coverage for BaseModelFormSet.get_queryset() fallback ordering.,feature,Python,11,0,1,1,0,1,3,11,23,1,0,1,0,6,6.3,100.0,7.3,44,11.0,0.0833,1.5,0
django/django,856c915326,2026-03-31T23:34:56Z,Fixed #37004 -- Used QuerySet.totally_ordered in BaseModelFormSet.get_queryset() for stable ordering.,bugfix,Python,34,3,3,1,0,1,12,37,23,1,0,1,0,6,1.6,33.3,9.3,44,8.5,0.0857,3.0,1
django/django,a32c7075cf,2026-04-01T13:36:16Z,Fixed #37017 -- Fixed setting or clearing of request.user after alogin/alogout().  Regression in 31a43c571f4d036827d4fd7a5f615591637dc1be.,bugfix,Python,48,6,3,1,1,1,18,54,13,2,0,0,2,1,2.2,33.3,3.5,45,6.86,0.0612,4.5,1
django/django,1c584b0b1e,2026-04-01T14:47:30Z,Refs CVE-2026-33034 -- Improved security documentation on handling large request bodies.  Notably that the limit can be bypassed under ASGI.,docs,Unknown,25,9,2,0,2,0,11,34,14,2,0,0,2,0,11.0,0.0,5.6,46,2.5,0.0769,3.67,0
django/django,3b161e6096,2026-04-02T09:26:45Z,Fixed #37016 -- Avoided propagating invalid arguments from When() to Q().,bugfix,Python,12,4,4,1,0,1,5,16,9,3,0,0,0,6,4.1,25.0,2.0,46,2.4,0.3077,1.0,1
django/django,04bcc99133,2026-04-02T13:24:04Z,Refs #36862 -- Reiterated security note on both variants of RemoteUserMiddleware.,other,Unknown,2,1,1,0,1,0,1,3,13,3,0,0,1,4,0.4,0.0,1.7,47,1.0,0.3333,0.5,0
django/django,4d8cc40c73,2026-04-02T17:14:26Z,Refs #37020 -- Corrected example command to update translation catalogs.  Passing the --domain flag again just overwrites the prior value.,other,Unknown,3,1,1,0,1,0,1,4,17,3,0,0,0,5,17.5,0.0,6.8,47,1.5,0.25,0.5,0
django/django,9391beeb87,2026-04-02T18:20:42Z,Fixed #37020 -- Removed guidance to edit fetched .po files by hand.  Altering the .po files by hand was causing incorrect line numbers and plural forms. Since our fetching procedure does not recompile,bugfix,Unknown,1,14,1,0,1,0,4,15,18,3,0,0,2,0,16.5,0.0,8.3,47,0.07,0.5,2.0,1
django/django,123fa3a3f3,2026-04-03T13:13:11Z,Refs #36949 -- Removed hardcoded pks in modeladmin tests.,refactor,Python,6,4,1,1,0,1,3,10,13,4,0,0,1,2,1.3,100.0,3.5,48,1.2,0.1429,1.5,0
django/django,e2abe321a6,2026-04-03T18:44:02Z,Fixed #37021 -- Added Permission.user_perm_str property.  For use in checking user permissions via has_perm().  Co-authored-by: 사재혁 <jaehyuck.sa.dev@gmail.com>,bugfix,Python,31,0,5,1,3,1,10,31,18,4,0,0,0,7,6.5,20.0,1.8,48,31.0,0.1562,1.67,1
django/django,7142667340,2026-04-04T19:52:18Z,Replaced yaml serializer workaround to preserve dict order with PyYAML's sort_keys=False.  The sort_keys parameter was added in PyYAML 5.1 (released March 2019). The workaround was added in 24b82cd201,feature,Python,7,4,1,0,0,0,3,11,19,5,1,0,1,0,337.1,0.0,6.7,49,1.4,0.125,1.5,0
django/django,eb244b0117,2026-04-04T21:58:05Z,Refs #37023 -- Removed hardcoded indent levels from XML serializer.  This facilitates nested fields and objects.,refactor,Python,16,5,1,0,0,0,7,21,21,5,1,0,0,5,26.8,0.0,9.7,49,2.67,0.0588,3.5,0
django/django,33bfc66add,2026-04-04T22:02:17Z,Fixed #37023 -- Made XML serializer put each ManyToManyField object on its own line.,bugfix,Python,11,2,2,1,0,1,4,13,22,5,1,1,0,4,4.3,50.0,3.0,49,3.67,0.1667,1.33,1
django/django,3af5cb17b8,2026-04-04T23:16:41Z,Added support for nested fields to XML deserializer.  Needed by Django MongoDB Backend's EmbeddedModelField.,feature,Python,32,13,1,0,0,0,15,45,23,5,1,1,1,1,347.1,0.0,2.3,50,2.29,0.0303,7.5,0
django/django,d687d412a9,2026-04-05T16:40:05Z,"Clarified that reporters shouldn't set their own tickets as ""Accepted"".",other,Unknown,4,0,1,0,1,0,1,4,16,6,1,0,1,0,14.8,0.0,3.2,50,4.0,0.2,0.5,0
django/django,e27f23b268,2026-04-06T18:18:30Z,"Fixed #36816 -- Allowed **kwargs in @task decorator.  The decorator was updated to accept **kwargs and forward them to task_class, allowing additional parameters to be passed to custom Task subclasses",bugfix,Python,106,11,5,2,2,1,40,117,18,0,0,0,2,6,12.4,40.0,9.6,50,8.83,0.0467,6.67,1
django/django,746f5fd23e,2026-04-07T10:16:21Z,"Clarified ""Add another question"" as the plus sign button.",feature,Unknown,6,6,1,0,1,0,3,12,10,1,0,0,0,2,9.8,0.0,8.6,51,0.86,0.1429,1.5,0
django/django,8cf3114def,2026-04-07T10:42:51Z,Removed outdated note about uwsgi LTS from docs.  projects.unbit.it has an invalid certificate and provides old packages.,refactor,Unknown,0,3,1,0,1,0,1,3,10,1,0,0,0,3,12.2,0.0,3.1,51,0.0,1.0,0.5,0
django/django,74e73dc131,2026-04-07T11:03:37Z,Updated Apache links to the current docs.,docs,Unknown,3,3,1,0,1,0,1,6,11,1,0,0,0,1,36.4,0.0,2.6,51,0.75,0.25,0.5,0
django/django,2dbec93531,2026-04-07T12:27:58Z,Added stub release notes for 6.0.5.,feature,Unknown,13,0,2,0,2,0,4,13,12,1,0,0,0,5,1.6,0.0,8.3,51,13.0,0.1429,1.33,0
django/django,3330dc2dd9,2026-04-07T12:51:05Z,"Added CVE-2026-3902, CVE-2026-4277, CVE-2026-4292, CVE-2026-33033, and CVE-2026-33034 to security archive.",feature,Unknown,57,0,1,0,1,0,19,57,12,1,0,0,2,1,2.6,0.0,1.3,51,57.0,0.0172,9.5,0
django/django,78a3ffbb4c,2026-04-07T14:19:28Z,"Fixed two issues in release helper scripts/verify_release.sh.  The artifacts downloaded from media.djangoproject.com use a lowercase ""django-"" prefix but the script searched for capital D. Error was: ",bugfix,Unknown,6,6,1,0,0,0,3,12,14,1,0,0,1,7,14.8,0.0,3.2,51,0.86,0.1429,1.5,1
django/django,d6e58765f5,2026-04-07T19:22:01Z,"Refs #35514 -- Moved email docs examples to relevant section.  The top-level ""Examples"" section of docs/topics/email.txt seemed intended to illustrate the difference between send_mail() and send_mass_",refactor,Unknown,25,26,1,0,1,0,16,51,19,1,0,0,0,5,15.8,0.0,2.2,52,0.93,0.0385,8.0,0
django/django,89d2298fbb,2026-04-07T19:40:45Z,"Refs #35514 -- Grouped sending-related features in email docs.  Introduced a top-level ""Sending messages"" section to group together send_mail(), send_mass_mail(), mail_admins(), mail_managers(), the E",feature,Unknown,19,13,1,0,1,0,10,32,19,1,0,0,1,7,2.9,0.0,4.7,52,1.36,0.05,5.0,0
django/django,8f36420364,2026-04-07T19:47:03Z,"Refs #35514 -- Moved EmailMessage class up in email docs.  Moved the ""Preventing header injection"" discussion below sections on EmailMessage and related classes.",refactor,Unknown,48,48,1,0,1,0,31,96,19,1,0,0,1,6,3.0,0.0,5.6,52,0.98,0.0204,15.5,0
