repo,commit_sha_full,commit_sha,commit_message,commit_type,language,author,committed_at,commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,label_source,language_group,time_period,confidence,linked_issue,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
holoviz/holoviews,79b8624776b462d51407236489929e4c5ddca08a,79b8624776,legend_opts implemented (#4558),feature,Python,Andrew,2020-08-21 22:56:30+02:00,22,4,0,1,44,12,6,2,7,18.14,0,clean,Python,2018-2020,1.0,,3.38,0.29,2.59,0
holoviz/holoviews,265fa84cd5999e7a76d2a6819cf54dc5bb14abf9,265fa84cd5,"Compatibility with bokeh 2.2 for CDSCallback (#4568)  * Compatibility with bokeh 2.2 for CDSCallback  * Fix flake",bugfix,Python,Philipp Rudiger,2020-08-25 23:45:14+02:00,23,1,0,1,1,0,1,0,1,18.0,1,keyword_strict,Python,2018-2020,0.4,,1.0,0.0,9.0,14
holoviz/holoviews,cf57b8874043ed016adacb66e14dc76c00980da1,cf57b88740,"Add History stream (#4554)  * Add History stream and tests  * Python 2 compat  * more Python 2 compat",feature,Python,Jon Mease,2020-08-25 23:45:45+02:00,23,1,0,1,101,0,2,1,9,1.0,0,clean,Python,2018-2020,1.0,,101.0,0.33,0.33,2
holoviz/holoviews,4673965509b62a14bb4b1c9413255aa7064082aa,4673965509,"Hover mode (#4527)  * Allow vline/hline in tools  * Add doc  * Change to list comprehension  Co-authored-by: ahuang11 <ahuang11@illinois.edu>",feature,Python,Andrew,2020-08-25 23:49:47+02:00,23,1,0,1,34,0,2,0,1,20.0,0,clean,Python,2018-2020,1.0,,34.0,0.0,6.67,0
holoviz/holoviews,1a366bcb0440a8fdb50e583f4acefa83dcc87d31,1a366bcb04,"Fix issues with boomeranging events when aspect is set (#4569)  * Fix issues with boomeranging events when aspect is set  * Fixed test",bugfix,Python,Philipp Rudiger,2020-08-27 00:17:48+02:00,0,3,0,1,17,7,1,0,1,69.0,1,keyword_strict,Python,2018-2020,0.4,,2.12,0.0,34.5,15
holoviz/holoviews,36c6e6fade881edcd92539188e4b009776db3aa5,36c6e6fade,Add decollate transformation (#4551),feature,Python,Jon Mease,2020-08-28 01:17:03+02:00,1,4,0,1,672,2,8,2,27,3.33,0,clean,Python,2018-2020,1.0,,224.0,0.22,0.37,2
holoviz/holoviews,517ff243a6b6522ef872a23899ba34213a80968a,517ff243a6,Fix deprecation warning for matplotlib cmaps (#4573),bugfix,Python,Philipp Rudiger,2020-08-30 00:26:02+02:00,0,6,1,1,3,5,1,0,1,13.0,1,keyword_strict,Python,2018-2020,0.4,,0.5,0.0,6.5,16
holoviz/holoviews,d4ba973a9fbe71775bb50441f4e42ba1d4a6a192,d4ba973a9f,"Ensure propagated options are correctly applied in batched mode (#4574)  * Ensure propagated options are correctly applied in batched mode  * Fixed flake",bugfix,Python,Philipp Rudiger,2020-08-30 01:29:15+02:00,1,6,1,1,18,5,3,1,4,10.25,1,keyword_strict,Python,2018-2020,0.4,,3.0,0.25,2.56,17
holoviz/holoviews,380a70cfff6c28fcb0a9e838bd3709a6f72ce55c,380a70cfff,"Simplify test env (#4576)  * Simplify test env  * Attempt to drop conda-forge",test,Python,Philipp Rudiger,2020-08-30 01:58:45+02:00,1,6,1,1,1,4,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.2,0.0,0.0,18
holoviz/holoviews,c3c01f73c86b628fede38688073330b850fef166,c3c01f73c8,Ensure plotly TriSurfacePlot raises SkipRendering error if SciPy is missing,other,Python,Philipp Rudiger,2020-08-30 02:17:30+02:00,2,6,1,1,1,1,1,0,1,3.0,0,clean,Python,2018-2020,1.0,,0.5,0.0,1.5,18
holoviz/holoviews,27f13ec8ed964b1bf5b80e128339b5d8a0c329a4,27f13ec8ed,Allow rendering to pgf in matplotlib (#4577),other,Python,Philipp Rudiger,2020-08-30 04:43:34+02:00,4,6,1,1,7,3,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.75,0.0,0.0,18
holoviz/holoviews,b7b580636feb9b7c4408bf621571afa3a724c6c1,b7b580636f,Add ability to supply transforms for all dimensions (#4578),feature,Python,Philipp Rudiger,2020-08-31 15:26:51+02:00,15,0,0,0,13,7,1,0,2,17.0,0,clean,Python,2018-2020,1.0,,1.62,0.0,8.5,18
holoviz/holoviews,d584e1ba16e9b90d03cde8793bd3c04b7c7c1864,d584e1ba16,"Fix aspect if width/height has been constrained (#4579)  * Fix aspect if width/height has been constrained  * Update holoviews/plotting/bokeh/element.py",bugfix,Python,Philipp Rudiger,2020-08-31 15:58:51+02:00,15,0,0,0,16,6,1,0,4,34.5,1,keyword_strict,Python,2018-2020,0.4,,2.29,0.0,17.25,18
holoviz/holoviews,5798606a7a92700f56b1f5aca9339287a00a9f38,5798606a7a,Add __getstate__ / __setstate__ method to dim to fix RecursionError (#4582),bugfix,Python,Jon Mease,2020-09-01 02:54:58+02:00,2,1,0,1,13,1,2,1,3,1.0,1,keyword_strict,Python,2018-2020,0.4,,6.5,0.33,0.33,2
holoviz/holoviews,b4fb89cc9d14ab9f77a250bc61092b7ed5462fd4,b4fb89cc9d,Handle rcParam deprecations in matplotlib (#4583),other,Python,Philipp Rudiger,2020-09-01 13:59:56+02:00,13,1,0,0,6,0,1,0,1,4.0,0,clean,Python,2018-2020,1.0,,6.0,0.0,2.0,19
holoviz/holoviews,09bed5d69a1cc9fa9530b9e165f76a08f5b8c181,09bed5d69a,"Fixed categorical handling in Geom plot types (#4575)  * Fixed categorical handling in Geom plot types  * Correctly compute factors in overlay  * Fixed flakes  * Fix handling of categorical fact",bugfix,Python,Philipp Rudiger,2020-09-01 22:38:44+02:00,22,1,0,1,167,31,5,1,14,7.64,1,keyword_strict,Python,2018-2020,0.4,,5.22,0.17,1.27,19
holoviz/holoviews,60c96aa03cedd1ba507ad59c568078a1d391d0fe,60c96aa03c,Do not attempt linking on annotations (#4584),other,Python,Philipp Rudiger,2020-09-01 23:30:02+02:00,23,1,0,1,2,2,1,0,1,60.0,0,clean,Python,2018-2020,1.0,,0.67,0.0,30.0,20
holoviz/holoviews,90bd54b93e256ae7a8f9cdd743d08656f4f7c2e0,90bd54b93e,"Reset RangeXY when framewise is set (#4585)  * Reset RangeXY when framewise is set  * Test RangeXY stream reset",test,Python,Philipp Rudiger,2020-09-02 00:25:19+02:00,0,2,0,1,26,0,2,1,4,16.5,0,clean,Python,2018-2020,1.0,,26.0,0.33,5.5,20
holoviz/holoviews,40645534d074480e7ed7866f5cc373f4ed0e72bf,40645534d0,Add automatic collate for Overlay of AdjointLayouts (#4586),feature,Python,Philipp Rudiger,2020-09-02 02:51:32+02:00,2,2,0,1,3,3,1,0,2,10.0,0,clean,Python,2018-2020,1.0,,0.75,0.0,5.0,20
holoviz/holoviews,24de9a2c80f9e7fc830cfe2dd47fc9b945277213,24de9a2c80,Fixed color-ranging after box select on side histogram (#4587),bugfix,Python,Philipp Rudiger,2020-09-02 03:17:38+02:00,3,2,0,1,5,6,1,0,1,9.0,1,keyword_strict,Python,2018-2020,0.4,,0.71,0.0,4.5,20
holoviz/holoviews,1f4c3184931c1026cea698a3338d994e9c80ddad,1f4c318493,Use HTTPS throughout on homepage (#4588),other,Unknown,Philipp Rudiger,2020-09-02 03:17:51+02:00,3,2,0,1,19,19,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.95,0.0,0.0,21
holoviz/holoviews,8168fa13f95743361c9570085770f95dc795a058,8168fa13f9,Fix tests on builds (#4590),bugfix,Python,Philipp Rudiger,2020-09-03 05:13:25+02:00,5,3,0,1,45,25,4,1,2,9.5,1,keyword_strict,Python,2018-2020,0.4,,1.73,0.2,1.9,21
holoviz/holoviews,9072acfb8edfac9a19bf7157545fcaf00285f2e0,9072acfb8e,Use python 3.7 for pip builds,other,Unknown,Philipp Rudiger,2020-09-03 13:45:38+02:00,13,3,0,0,2,0,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,2.0,0.0,0.0,22
holoviz/holoviews,c108277cba92d04afcc8cf8ffb1946c3e84faad1,c108277cba,Ensure pip build environment is activated,other,Unknown,Philipp Rudiger,2020-09-03 14:21:08+02:00,14,3,0,0,2,0,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,2.0,0.0,0.0,22
holoviz/holoviews,712d6b8d4d6e94a3d2dec0af832e8028190f5467,712d6b8d4d,Add conda-forge to doc build channels [doc-build],feature,Unknown,Philipp Rudiger,2020-09-03 22:19:14+02:00,22,3,0,1,4,4,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,0.8,0.0,0.0,22
holoviz/holoviews,bec812b0a6f4bce06f658899d77bd2af7015a3c6,bec812b0a6,"Fixed bug colormapping Path (#4593)  * Fixed bug colormapping Path  * Add test",bugfix,Python,Philipp Rudiger,2020-09-04 01:29:02+02:00,1,4,0,1,19,2,2,1,2,19.0,1,keyword_strict,Python,2018-2020,0.4,,6.33,0.33,6.33,22
holoviz/holoviews,1d3c25c97d1bfe55b80b5bc1f128c97e143da237,1d3c25c97d,Expose sizing_mode on Div element (#4594),other,Python,Philipp Rudiger,2020-09-04 02:25:55+02:00,2,4,0,1,45,5,1,0,2,1.0,0,clean,Python,2018-2020,1.0,,7.5,0.0,0.5,23
holoviz/holoviews,67662672ca6a86aaf12e9004223d80c5a1731ed9,67662672ca,Fix bug in linked_selections table rendering (#4597),bugfix,Python,Philipp Rudiger,2020-09-04 09:24:22-04:00,9,4,0,0,2,1,1,0,1,2.0,1,keyword_strict,Python,2018-2020,0.4,,1.0,0.0,1.0,23
holoviz/holoviews,f66aec5604032be2703ffa2bac5f8b933f7b53b5,f66aec5604,Add option to link streams on link_selections input (#4595),feature,Python,Philipp Rudiger,2020-09-04 12:50:40+02:00,12,4,0,0,4,1,1,0,1,11.0,0,clean,Python,2018-2020,1.0,,2.0,0.0,5.5,24
holoviz/holoviews,1e70d928fa263389ed630f412ba91b823111ce3f,1e70d928fa,Ensure dynspread handles zero width/height Image/RBG (#4600),other,Python,Philipp Rudiger,2020-09-08 13:15:59+02:00,13,1,0,0,2,1,1,0,1,7.0,0,clean,Python,2018-2020,1.0,,1.0,0.0,3.5,24
holoviz/holoviews,f0b1272c5fb85507f133727857181c7cdd1857c4,f0b1272c5f,Add CHANGELOG for 1.13.4 (#4599),feature,Unknown,Philipp Rudiger,2020-09-08 13:33:45+02:00,13,1,0,0,130,1,2,0,0,0.0,0,clean,Python,2018-2020,1.0,,65.0,0.0,0.0,24
holoviz/holoviews,a7ba2d9852d75e80b0cc2a5576540969df235575,a7ba2d9852,Add selenium to doc env,feature,Python,Philipp Rudiger,2020-09-08 13:34:50+02:00,13,1,0,0,2,1,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.0,0.0,0.0,24
holoviz/holoviews,f0066369c1c8f31e9ba02e8abe88d8826525bf9d,f0066369c1,Pin bokeh in the doc build,docs,Python,Philipp Rudiger,2020-09-08 19:19:18+02:00,19,1,0,0,2,1,1,0,0,0.0,0,clean,Python,2018-2020,1.0,,1.0,0.0,0.0,24
holoviz/holoviews,da0d1efc5ffc59e0ef64f572f8ec0ae64baea163,da0d1efc5f,"Avoid using Parameterized repr in callable_name (#4601)  * Avoid using Parameterized repr in callable_name  * Small fix",bugfix,Python,Philipp Rudiger,2020-09-09 00:40:40+02:00,0,2,0,1,2,2,1,0,1,13.0,1,keyword_strict,Python,2018-2020,0.4,,0.67,0.0,6.5,24
